Aug 2021;Aug 2020;Programming Language;Ratings;Change
1;1;C;12.57%;-4.41%
2;3;Python;11.86%;+2.17%
3;2;Java;10.43%;-4.00%
4;4;C++;7.36%;+0.52%
5;5;C#;5.14%;+0.46%
6;6;Visual Basic;4.67%;+0.01%
7;7;JavaScript;2.95%;+0.07%
8;9;PHP;2.19%;-0.05%
9;14;Assembly language;2.03%;+0.99%
10;10;SQL;1.47%;+0.02%
11;18;Groovy;1.36%;+0.59%
12;17;Classic Visual Basic;1.23%;+0.41%
13;42;Fortran;1.14%;+0.83%
14;8;R;1.05%;-1.75%
15;15;Ruby;1.01%;-0.03%
16;12;Swift;0.98%;-0.44%
17;16;MATLAB;0.98%;+0.11%
18;11;Go;0.90%;-0.52%
19;36;Prolog;0.80%;+0.41%
20;13;Perl;0.78%;-0.33%
